Profit: -0.28937611568404975, Difference: -0.361238257760121
Profit: -0.8529691200426726, Difference: 0.019928405014667305
Profit: -0.41654924592042164, Difference: 0.08759651929129575
Profit: -0.28906606472119734, Difference: -0.0371833407773039
Profit: -0.33904501162587053, Difference: 4.8329054848750275e-05
Profit: -0.26903196054307443, Difference: -0.06417223518047876
Profit: -0.31670649481760904, Difference: 0.009370112934277586
Profit: -0.4619434115063399, Difference: 0.05663616306601682
Profit: -0.32142437450042394, Difference: -0.02904079765505685
Profit: -0.43507572634848657, Difference: -0.021117148804961516
Profit: -0.29950476204682275, Difference: -0.014884636966357334
Profit: -0.4553116582805501, Difference: 0.04632104177947838
Profit: -0.3220757936459222, Difference: 0.04130557330201157
Profit: -0.4409102638760487, Difference: -0.019452509364072057
Profit: -0.3206069943464769, Difference: -0.020628210155521742
Profit: -0.9707671430894322, Difference: 0.26739154520207364
Profit: -0.36114278435056235, Difference: 0.01250222740050333
Profit: -0.6606038306271103, Difference: 0.0565231272656348
Profit: -0.47712119258807206, Difference: -0.08689728102831396
Profit: -0.5101013382512605, Difference: 0.012803917934505193
Profit: -0.2590816188919405, Difference: 0.004524287197298804
Profit: -0.4666924212315564, Difference: 0.008522378298877697
Profit: -0.3218389370398427, Difference: 0.014811159271431507
Profit: -0.21954746367818245, Difference: -0.045023582759952774
Profit: -0.4452761969505019, Difference: 0.052712175783128146
Profit: -0.8142346765169322, Difference: 0.05372989099539893
Profit: -0.6897495403351144, Difference: 0.11301308729406401
Profit: -0.2954053275730928, Difference: -0.02506252600959158
Profit: -0.7081118653636764, Difference: 0.04362381706592089
Profit: -0.619047754455238, Difference: 0.008639526549927723
Profit: -0.9742365983197203, Difference: 0.007558431790002373
Profit: -0.45609835263796583, Difference: 0.04488008913729402
Profit: -0.41646951787134867, Difference: 0.033138936804220975
Profit: -0.5191187149570311, Difference: 0.19477490186281443
Profit: -0.7768548806099602, Difference: 0.11291396315149882
Profit: -0.3535646471712539, Difference: 0.02698610421163039
Profit: -0.32655155071694253, Difference: 0.07967022295744641
Profit: -0.702035601671767, Difference: 0.09619337136709305
Profit: -1.1129151212540904, Difference: 0.14066441661273643
Profit: -0.2750986745414252, Difference: 0.015623614587639167
Profit: -0.5958009705628058, Difference: 0.20680446578633394
Profit: -0.4499328541946852, Difference: 0.07724876117772794
